iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
1,OPTIONS,204,49.44,36.74,45.41,662.91,663.05
1,POST,400,4.17,30.13,50.82,252.4,253.11
2,OPTIONS,204,3.47,32.25,46.21,601.71,601.8
2,POST,400,6.05,29.47,48.91,611.02,611.35
3,OPTIONS,204,4.51,30.36,47.99,245.92,246.0
3,POST,400,4.52,30.41,48.59,623.54,624.06
4,OPTIONS,204,3.76,34.17,48.44,619.0,619.11
4,POST,400,4.76,29.02,47.66,607.53,607.93
5,OPTIONS,204,4.24,29.47,46.52,242.3,242.36
5,POST,400,5.03,30.3,45.03,245.39,245.88
6,OPTIONS,204,6.42,30.12,43.95,597.33,597.48
6,POST,400,4.71,32.37,47.44,592.24,592.79
7,OPTIONS,204,6.33,29.23,45.35,238.96,239.06
7,POST,400,4.77,29.1,43.07,598.14,598.7
8,OPTIONS,204,4.63,29.82,48.0,255.57,255.64
8,POST,400,3.73,30.01,43.44,241.38,241.92
9,OPTIONS,204,5.47,31.2,50.92,623.26,623.36
9,POST,400,4.9,29.96,51.39,609.13,609.74
10,OPTIONS,204,5.67,30.24,46.11,244.99,245.09
10,POST,400,4.05,32.38,42.99,589.59,590.04
11,OPTIONS,204,4.25,30.55,47.16,257.35,257.48
11,POST,400,4.46,28.97,53.4,264.33,264.64
12,OPTIONS,204,5.37,32.31,49.93,253.22,253.35
12,POST,400,4.48,30.44,45.91,256.32,256.65
13,OPTIONS,204,5.04,30.54,46.12,245.45,245.55
13,POST,400,4.47,28.63,41.67,228.53,229.09
14,OPTIONS,204,4.54,33.48,53.01,258.36,258.48
14,POST,400,4.51,31.13,48.07,248.77,249.28
15,OPTIONS,204,5.7,31.89,50.74,259.78,259.88
15,POST,400,4.33,29.46,46.33,243.33,243.66
16,OPTIONS,204,5.23,30.14,47.0,245.94,246.06
16,POST,400,4.42,32.37,48.97,245.7,246.09
17,OPTIONS,204,5.48,28.83,45.28,604.54,604.66
17,POST,400,4.36,36.9,50.96,256.39,256.99
18,OPTIONS,204,4.81,30.56,44.24,242.03,242.16
18,POST,400,4.33,33.62,46.15,247.49,248.09
19,OPTIONS,204,4.21,29.71,49.58,248.83,248.98
19,POST,400,4.85,28.35,43.98,246.27,246.74
20,OPTIONS,204,8.22,28.2,48.23,250.1,250.23
20,POST,400,4.58,29.59,47.06,252.67,253.02
21,OPTIONS,204,4.78,29.2,48.11,242.98,243.08
21,POST,400,4.04,28.75,42.8,247.51,247.87
22,OPTIONS,204,10.3,29.71,50.0,266.77,266.83
22,POST,400,2.48,32.42,47.59,252.55,252.85
23,OPTIONS,204,4.54,31.96,42.3,238.96,239.03
23,POST,400,5.35,34.44,45.05,247.67,248.13
24,OPTIONS,204,4.82,29.52,43.75,243.33,243.48
24,POST,400,4.69,28.48,45.55,271.32,271.57
25,OPTIONS,204,3.49,29.68,44.31,238.02,238.13
25,POST,400,3.13,28.63,43.25,233.31,234.76
26,OPTIONS,204,4.73,28.5,43.01,244.36,244.47
26,POST,400,4.9,30.23,46.26,244.23,244.69
27,OPTIONS,204,7.27,32.66,47.69,609.01,609.07
27,POST,400,4.35,34.17,48.11,621.44,621.7
28,OPTIONS,204,3.97,29.76,45.32,244.26,244.37
28,POST,400,4.82,33.04,50.6,267.3,267.52
29,OPTIONS,204,10.54,29.29,44.56,245.74,245.81
29,POST,400,4.43,29.26,44.68,238.73,239.21
30,OPTIONS,204,4.82,33.01,46.65,253.33,253.43
30,POST,400,4.65,30.07,48.63,246.22,246.63
31,OPTIONS,204,6.48,29.49,49.47,252.66,252.8
31,POST,400,4.26,31.52,44.56,245.5,246.18
32,OPTIONS,204,5.35,30.71,49.54,248.43,248.54
32,POST,400,4.38,28.93,52.3,249.0,249.56
33,OPTIONS,204,5.67,28.93,52.2,248.36,248.49
33,POST,400,4.81,33.96,45.49,245.01,245.41
34,OPTIONS,204,6.47,29.35,42.22,237.36,237.49
34,POST,400,4.07,28.92,49.86,248.22,248.7
35,OPTIONS,204,3.69,42.48,46.58,258.7,258.79
35,POST,400,5.17,35.96,46.64,291.72,292.12
36,OPTIONS,204,7.87,29.07,43.48,246.34,246.45
36,POST,400,4.46,30.85,41.69,236.9,237.37
37,OPTIONS,204,4.76,34.26,43.31,252.57,252.72
37,POST,400,4.61,30.13,47.79,243.2,243.52
38,OPTIONS,204,4.4,29.02,45.01,244.41,244.55
38,POST,400,4.21,30.07,48.23,250.3,250.62
39,OPTIONS,204,5.16,31.28,48.94,243.71,243.85
39,POST,400,4.31,29.37,47.28,240.12,240.46
40,OPTIONS,204,7.89,31.14,45.32,252.95,253.08
40,POST,400,5.16,29.31,52.28,259.83,260.3
41,OPTIONS,204,4.53,29.15,47.37,240.2,240.32
41,POST,400,4.28,33.64,53.18,263.9,264.35
42,OPTIONS,204,4.45,29.65,44.6,241.9,242.05
42,POST,400,5.29,37.48,44.79,257.94,258.21
43,OPTIONS,204,4.84,31.92,49.43,266.42,266.54
43,POST,400,4.04,30.02,45.53,238.03,238.47
44,OPTIONS,204,4.95,30.43,46.93,247.85,247.95
44,POST,400,5.06,28.84,51.85,255.54,258.28
45,OPTIONS,204,3.82,30.76,43.07,241.08,241.17
45,POST,400,2.09,36.17,49.11,261.18,261.72
46,OPTIONS,204,5.36,29.27,49.91,254.94,255.07
46,POST,400,4.09,29.07,45.65,238.45,238.88
47,OPTIONS,204,4.8,29.76,41.9,236.69,236.82
47,POST,400,4.35,30.73,52.15,254.64,254.86
48,OPTIONS,204,7.11,28.8,46.74,247.46,247.73
48,POST,400,5.31,30.85,60.77,278.91,279.17
49,OPTIONS,204,2.79,31.73,48.93,249.42,249.48
49,POST,400,2.4,36.01,42.38,243.48,243.77
50,OPTIONS,204,7.15,31.54,55.7,261.44,261.51
50,POST,400,5.18,31.57,45.64,245.95,246.4
51,OPTIONS,204,5.72,30.39,48.21,262.29,262.43
51,POST,400,4.38,32.09,46.78,247.64,248.0
52,OPTIONS,204,2.52,31.11,52.82,254.05,254.16
52,POST,400,2.99,29.63,44.72,242.86,243.23
53,OPTIONS,204,4.83,29.49,46.15,242.23,242.27
53,POST,400,4.58,30.01,42.49,253.41,253.52
54,OPTIONS,204,3.18,30.31,47.22,247.85,247.91
54,POST,400,3.49,33.31,51.57,253.42,254.16
55,OPTIONS,204,5.21,31.0,47.87,247.87,248.0
55,POST,400,5.74,34.98,54.25,268.35,268.65
