iteration,verb,status,dns_ms,tcp_ms,tls_ms,ttfb_ms,total_ms
1,OPTIONS,204,54.72,35.47,42.63,660.33,660.44
1,POST,200,5.08,35.29,50.31,606.26,606.78
2,OPTIONS,204,4.83,32.99,46.53,635.9,635.99
2,POST,200,5.23,32.57,50.45,596.28,596.7
3,OPTIONS,204,4.44,29.04,45.63,238.23,238.37
3,POST,200,5.18,28.95,58.26,617.32,617.78
4,OPTIONS,204,4.77,30.09,45.51,590.8,590.9
4,POST,200,4.47,31.88,43.44,643.64,643.82
5,OPTIONS,204,8.23,29.49,45.62,595.88,595.99
5,POST,200,4.12,34.5,44.72,645.2,645.92
6,OPTIONS,204,5.0,36.03,43.68,602.8,602.89
6,POST,200,5.5,33.99,46.59,243.24,243.85
7,OPTIONS,204,4.94,31.57,45.45,612.26,612.4
7,POST,200,4.75,33.36,44.69,244.89,245.28
8,OPTIONS,204,4.89,31.29,56.11,644.83,644.95
8,POST,200,3.87,30.34,42.11,580.25,580.88
9,OPTIONS,204,4.43,29.92,50.64,269.68,269.81
9,POST,200,4.31,29.31,41.43,234.48,234.83
10,OPTIONS,204,4.47,30.58,46.93,593.3,593.48
10,POST,200,5.06,31.54,47.68,247.44,247.85
11,OPTIONS,204,4.63,33.82,48.81,262.56,262.69
11,POST,200,4.59,30.43,45.29,241.58,241.93
12,OPTIONS,204,5.46,28.86,49.5,270.28,270.38
12,POST,200,4.93,30.63,43.38,245.85,246.14
13,OPTIONS,204,5.3,29.38,47.31,240.23,240.29
13,POST,200,4.51,32.61,48.69,262.26,262.51
14,OPTIONS,204,5.11,30.78,45.21,243.38,243.51
14,POST,200,4.57,30.72,47.44,253.65,254.15
15,OPTIONS,204,4.54,33.53,49.28,602.65,602.79
15,POST,200,4.65,28.71,56.65,262.48,262.91
16,OPTIONS,204,5.6,29.8,46.15,278.34,278.44
16,POST,200,4.42,32.63,46.32,261.23,261.78
17,OPTIONS,204,4.28,29.63,48.43,260.4,260.83
